№,wallet,ETH,TX Count,Zora.co NFT,Collection count,NFT count,Days,Weeks,Months,First tx,Last tx
1,0x728F8862A2C1AdB3f76DFCd708cE12EBB9F138cE,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
2,0xdDd188Ff4D647fF7DF6646614fF5a2210eE4e004,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
3,0x5814005F1F3A8e1b059A3917310Beb596491e53C,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
4,0xADedF81C7249Aa1A88C9072522f68cb350Cd19b5,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
5,0xD6246C4502aD3fe1076a99aAcAE6Bb97B2de94b8,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
6,0xA1D08813C361FED83378D77e42F760dE82F0Bc9F,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
7,0x9c20da75E46a33Ce82a75A38eF8588E33Bc18f8c,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
8,0x58748da9A232f5fe33bC99e14CDfd40723b91a90,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
9,0x345C1995a7Dcb6F826bDb0841A64463A35FB40eF,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
10,0x576246380C713a787E507e05C2d181E0DFBF4885,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
11,0xd5B0700476851c07d26CF0daCA897433c804D519,0.0000 ($0.00),0,,0,0,,,,29.11.23,29.11.23
,,,,,,,,,,,
,Total,0.0000 ($0.00),,,,,,,,,
